Titlu,Numar_Autori,Autori_Deputati
Proiectul de hotărâre pentru aprobarea Declarației Parlamentului Republicii Moldova cu privire la aderarea Republicii Moldova la Uniunea Europeană,2,"Adrian BELÎI, Doina GHERMAN"
"Proiectul de hotărâre pentru aprobarea Declarației Parlamentului Republicii Moldova cu privire la susținerea independenței, suveranității și integrității teritoriale a Ucrainei",2,"Adrian BELÎI, Oazu NANTOI"
"Proiectul de hotărâre pentru modificarea punctului 1 din Hotărârea Parlamentului nr.433/1990 cu privire la zilele comemorative, zilele de sărbătoare și la zilele de odihnă în Republica Moldova",2,"Adrian BELÎI, Doina GHERMAN"
Proiectul legii cetățeniei Republicii Moldova,2,"Artemie CĂTĂNOI, Veronica ROȘCA"
"Proiectul de lege pentru modificarea unor acte normative (Legea privind actele de stare civilă nr.100/2001 – art.1, 3, 4, ș.a.; Codul familiei nr.1316/2000 – art.2, 3, ș.a.; ș.a.)",2,"Ana OGLINDA, Artemie CĂTĂNOI"
"Proiectul de lege pentru modificarea Legii privind aplicarea măsurilor restrictive internaționale nr. 25/2016 (art.10, 13, 19, ș.a.)",2,"Boris MARCOCI, Lilian CARP"
Proiect de lege pentru modificarea unor acte normative pentru instituirea Programului național privind acordarea indemnizațiilor lunare tinerilor angajați în industrii de importanță strategică (Legea nr. 105/2018 cu privire la promovarea ocupării forței de muncă și asigurarea de șomaj și Codul fiscal nr. 1163/1997),2,"Alina DANDARA, Eugeniu SINCHEVICI"
Proiectul de lege pentru modificarea unor acte normative (aspecte legate acordarea concediului paternal),2,"Andrian CHEPTONAR, Marina MOROZOVA"
Proiectul de lege privind securitatea națională a Republicii Moldova și de modificare a unor acte normative,2,"Ana SPEIANU, Andrian CHEPTONAR"
"Proiectul de lege cu privire la modificarea Legii nr. 62/2022 cu privire la publicitate (clauza de armonizare, art.3, capitolul II'1)",2,"Ana SPEIANU, Liliana NICOLAESCU-ONOFREI"
"Proiectul de lege pentru modificarea Codului serviciilor media audiovizuale al Republicii Moldova nr.174/2018 (preambul, art.1, 2, 4, ș.a.)",2,"Efimia BANDALAC, Liliana NICOLAESCU-ONOFREI"
Proiectul de hotărâre privind desemnarea unui membru al Consiliului de supraveghere și dezvoltare al furnizorului public național de servicii media,2,"Eugeniu SINCHEVICI, Liliana NICOLAESCU-ONOFREI"
Proiectul de lege privind managementul situațiilor de criză,2,"Andrian CHEPTONAR, Lilian CARP"
