Deputat,Centralitate_Grad,Centralitate_Betweenness,Grad_Rețea
Adrian BELÎI,0.1864406779661017,0.09273544495636839,11
Doina GHERMAN,0.1016949152542373,0.015023555248569862,6
Oazu NANTOI,0.06779661016949153,0.05678737782770511,4
Artemie CĂTĂNOI,0.1694915254237288,0.0979822437449556,10
Veronica ROȘCA,0.15254237288135594,0.05521536227263871,9
Ana OGLINDA,0.15254237288135594,0.05228158262933248,9
Boris MARCOCI,0.11864406779661017,0.019165395290468346,7
Lilian CARP,0.11864406779661017,0.018070999719158685,7
Alina DANDARA,0.1016949152542373,0.022321254626923817,6
Eugeniu SINCHEVICI,0.05084745762711865,0.005690768417244162,3
Andrian CHEPTONAR,0.15254237288135594,0.07196647108979076,9
Marina MOROZOVA,0.11864406779661017,0.04745073259100144,7
Ana SPEIANU,0.06779661016949153,0.010308647129219892,4
Liliana NICOLAESCU-ONOFREI,0.11864406779661017,0.043253736327961916,7
Efimia BANDALAC,0.05084745762711865,0.004266510812390414,3
Radu MARIAN,0.22033898305084745,0.11946040517051623,13
Vasile GRĂDINARU,0.1016949152542373,0.012124564506212666,6
Larisa NOVAC,0.03389830508474576,0.002815117864796415,2
Igor CHIRIAC,0.11864406779661017,0.04056202418271382,7
Marcela ADAM,0.03389830508474576,0.002990453925579583,2
Alexandr TRUBCA,0.22033898305084745,0.11755776855133955,13
Viorel BARDA,0.01694915254237288,0.0,1
Ion POIA,0.03389830508474576,0.0,2
Victor SPÎNU,0.03389830508474576,0.0008523280732515099,2
Liliana GROSU,0.03389830508474576,0.00493818961089563,2
Adela RĂILEANU,0.01694915254237288,0.0,1
Vlad BATRÎNCEA,0.03389830508474576,0.0005844535359438924,2
Dorian ISTRATII,0.06779661016949153,0.017221897525813365,4
Maria PANCU,0.01694915254237288,0.0,1
Ion BABICI,0.01694915254237288,0.0,1
Ersilia QATRAWI,0.05084745762711865,0.030864017143970385,3
Virgiliu PÂSLARIUC,0.01694915254237288,0.0,1
Ion GROZA,0.05084745762711865,0.00179789040104645,3
Corneliu FURCULIȚĂ,0.03389830508474576,0.0,2
Radu MUDREAC,0.03389830508474576,0.0,2
Boris POPA,0.05084745762711865,0.0018709470930394362,3
Marcela NISTOR,0.03389830508474576,0.027469316189362943,2
Vitali GAVROUC,0.01694915254237288,0.0,1
Ina COȘERU,0.06779661016949153,0.009798705093854127,4
Mariana CUȘNIR,0.05084745762711865,0.001681695471876652,3
Olesea STAMATE,0.06779661016949153,0.010271075116194928,4
Angela MUNTEANU-POJOGA,0.0847457627118644,0.0602863822326125,5
Grigore NOVAC,0.01694915254237288,0.0,1
Igor GROSU,0.0847457627118644,0.013195556635065693,5
Diana CARAMAN,0.01694915254237288,0.0,1
Inga SIBOVA,0.01694915254237288,0.0,1
Mariana LUCREȚEANU,0.01694915254237288,0.0,1
Sergiu LAZARENCU,0.06779661016949153,0.03572472238457042,4
Petru BURDUJA,0.05084745762711865,0.0011689070718877848,3
Alla DAROVANNAIA,0.01694915254237288,0.0,1
Larisa VOLOH,0.1016949152542373,0.047415437669674966,6
Natalia DAVIDOVICI,0.05084745762711865,0.002510367092482814,3
Ana CALINICI,0.03389830508474576,0.0,2
Maria GONȚA,0.01694915254237288,0.0,1
Ion ȘPAC,0.01694915254237288,0.0,1
Evghenia COJOCARI,0.01694915254237288,0.0,1
Alla PILIPEȚCAIA,0.01694915254237288,0.0,1
Gheorghe ICHIM,0.01694915254237288,0.0,1
Oleg CANAȚUI,0.01694915254237288,0.0,1
Ana RACU,0.03389830508474576,0.006082744452119087,2
