Nume,Exclus,Partid,Proiecte_cosemnate,Nr_coautori
Adela RĂILEANU,0,?,1,1
Adrian BELÎI,0,?,18,11
Alexandr TRUBCA,0,?,16,13
Alina DANDARA,1,PAS,11,6
Alla DAROVANNAIA,0,?,1,1
Alla PILIPEȚCAIA,0,?,1,1
Ana CALINICI,0,?,3,2
Ana OGLINDA,0,?,12,9
Ana RACU,1,PAS,2,2
Ana SPEIANU,1,PAS,4,4
Andrian CHEPTONAR,0,?,14,9
Angela MUNTEANU-POJOGA,0,?,8,5
Artemie CĂTĂNOI,0,?,25,10
Boris MARCOCI,1,PAS,14,7
Boris POPA,1,PAS,6,3
Corneliu FURCULIȚĂ,0,?,2,2
Diana CARAMAN,0,?,1,1
Doina GHERMAN,0,?,12,6
Dorian ISTRATII,0,?,9,4
Efimia BANDALAC,0,?,3,3
Ersilia QATRAWI,0,?,3,3
Eugeniu SINCHEVICI,0,?,8,3
Evghenia COJOCARI,1,PAS,1,1
Gheorghe ICHIM,0,?,2,1
Grigore NOVAC,0,?,4,1
Igor CHIRIAC,0,?,11,7
Igor GROSU,0,?,6,5
Ina COȘERU,1,PAS,6,4
Inga SIBOVA,0,?,1,1
Ion BABICI,0,?,1,1
Ion GROZA,1,PAS,4,3
Ion POIA,1,PAS,2,2
Ion ȘPAC,1,PAS,1,1
Larisa NOVAC,0,?,4,2
Larisa VOLOH,0,?,7,6
Lilian CARP,0,?,15,7
Liliana GROSU,0,?,2,2
Liliana NICOLAESCU-ONOFREI,0,?,14,7
Marcela ADAM,0,?,3,2
Marcela NISTOR,1,PAS,2,2
Maria GONȚA,0,?,1,1
Maria PANCU,1,PAS,1,1
Mariana CUȘNIR,1,PAS,5,3
Mariana LUCREȚEANU,0,?,1,1
Marina MOROZOVA,0,?,10,7
Natalia DAVIDOVICI,0,?,3,3
Oazu NANTOI,1,PAS,4,4
Oleg CANAȚUI,0,?,2,1
Olesea STAMATE,0,?,4,4
Petru BURDUJA,0,?,3,3
Radu MARIAN,0,?,23,13
Radu MUDREAC,0,?,2,2
Sergiu LAZARENCU,0,?,6,4
Vasile GRĂDINARU,0,?,9,6
Veronica ROȘCA,0,?,28,9
Victor SPÎNU,1,PAS,3,2
Viorel BARDA,0,?,3,1
Virgiliu PÂSLARIUC,0,?,1,1
Vitali GAVROUC,1,PAS,1,1
Vlad BATRÎNCEA,0,?,2,2
