Source,Target,Weight,Type
Bogdat ȚÎRDEA,Petru BURDUJA,5,Undirected
Alexandr BERLINSCHII,Constantin CUIUMJU,4,Undirected
Ala URSU-ANTOCI,Vladimir ODNOSTALCO,3,Undirected
Alexandru CHIȚU,Vasile COSTIUC,2,Undirected
Ion CHICU,Liliana IACONI,2,Undirected
Alexandr BERLINSCHII,Renato USATÎI,2,Undirected
Alexandr BERLINSCHII,Elena GRIȚCO,2,Undirected
Adela RĂILEANU,Pavel VOICU,2,Undirected
Alexandru CHIȚU,Ana ȚURCAN-OBOROC,2,Undirected
Adrian DOMENTIUC,Diana CARAMAN,2,Undirected
Adela RĂILEANU,Igor DODON,2,Undirected
Adela RĂILEANU,Adrian LEBEDINSKII,1,Undirected
Andrian CHEPTONAR,Lilian CARP,1,Undirected
Artemie CĂTĂNOI,Igor TALMAZAN,1,Undirected
Alexandr TRUBCA,Radu MARIAN,1,Undirected
Alexandr TRUBCA,Igor CHIRIAC,1,Undirected
Dinu PLÎNGĂU,Doina GHERMAN,1,Undirected
Adrian DOMENTIUC,Inga SIBOVA,1,Undirected
Adrian DOMENTIUC,Valeriu MUDUC,1,Undirected
Ana ȚURCAN-OBOROC,Vasile COSTIUC,1,Undirected
Adrian DOMENTIUC,Constantin STARÎȘ,1,Undirected
Ana ȚURCAN-OBOROC,Sergiu STEFANCO,1,Undirected
Angela CUTASEVICI,Gaik VARTANEAN,1,Undirected
Larisa NOVAC,Sergiu LAZARENCU,1,Undirected
Diana CARAMAN,Igor DODON,1,Undirected
Alexandr TRUBCA,Iurie LEVINSCHI,1,Undirected
Ana CALINICI,Doina GHERMAN,1,Undirected
Alic BARABOI,Larisa NOVAC,1,Undirected
Alexandr TRUBCA,Igor TALMAZAN,1,Undirected
Alexandr BERLINSCHII,Nicolae MARGARINT,1,Undirected
Adrian LEBEDINSKII,Bogdat ȚÎRDEA,1,Undirected
Alic BARABOI,Valeriu ROBU,1,Undirected
Alic BARABOI,Radu MARIAN,1,Undirected
Dorian ISTRATII,Ilie IONAȘ,1,Undirected
Grigore NOVAC,Olga CEBOTARI,1,Undirected
Alexandr STOIANOGLO,Ion CHICU,1,Undirected
Alexandr STOIANOGLO,Gabriela CUNEVA,1,Undirected
Alic BARABOI,Vasile GRĂDINARU,1,Undirected
Alic BARABOI,Victoria BELOUS,1,Undirected
Alexandr STOIANOGLO,Gaik VARTANEAN,1,Undirected
