,Adela RĂILEANU,Adrian BELÎI,Alexandr TRUBCA,Alina DANDARA,Alla DAROVANNAIA,Alla PILIPEȚCAIA,Ana CALINICI,Ana OGLINDA,Ana RACU,Ana SPEIANU,Andrian CHEPTONAR,Angela MUNTEANU-POJOGA,Artemie CĂTĂNOI,Boris MARCOCI,Boris POPA,Corneliu FURCULIȚĂ,Diana CARAMAN,Doina GHERMAN,Dorian ISTRATII,Efimia BANDALAC,Ersilia QATRAWI,Eugeniu SINCHEVICI,Evghenia COJOCARI,Gheorghe ICHIM,Grigore NOVAC,Igor CHIRIAC,Igor GROSU,Ina COȘERU,Inga SIBOVA,Ion BABICI,Ion GROZA,Ion POIA,Ion ȘPAC,Larisa NOVAC,Larisa VOLOH,Lilian CARP,Liliana GROSU,Liliana NICOLAESCU-ONOFREI,Marcela ADAM,Marcela NISTOR,Maria GONȚA,Maria PANCU,Mariana CUȘNIR,Mariana LUCREȚEANU,Marina MOROZOVA,Natalia DAVIDOVICI,Oazu NANTOI,Oleg CANAȚUI,Olesea STAMATE,Petru BURDUJA,Radu MARIAN,Radu MUDREAC,Sergiu LAZARENCU,Vasile GRĂDINARU,Veronica ROȘCA,Victor SPÎNU,Viorel BARDA,Virgiliu PÂSLARIUC,Vitali GAVROUC,Vlad BATRÎNCEA
Adela RĂILEANU,1.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian BELÎI,0.0,1.0,0.11666666666666667,0.03333333333333333,0.0,0.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,0.06666666666666667,0.0,0.05,0.05,0.016666666666666666,0.0,0.0,0.03333333333333333,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.0,0.0,0.016666666666666666,0.05,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.03333333333333333,0.0,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0
Alexandr TRUBCA,0.0,0.11666666666666667,1.0,0.016666666666666666,0.0,0.0,0.016666666666666666,0.05,0.0,0.03333333333333333,0.05,0.0,0.05,0.06666666666666667,0.016666666666666666,0.0,0.0,0.03333333333333333,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.016666666666666666,0.05,0.0,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.016666666666666666,0.0,0.03333333333333333,0.0,0.0,0.0,0.016666666666666666,0.0,0.06666666666666667,0.0,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0
Alina DANDARA,0.0,0.03333333333333333,0.016666666666666666,1.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.016666666666666666,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alla DAROVANNAIA,0.016666666666666666,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alla PILIPEȚCAIA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ana CALINICI,0.0,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.0,0.0,1.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0
Ana OGLINDA,0.0,0.03333333333333333,0.05,0.016666666666666666,0.0,0.0,0.0,1.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.0,0.0,0.05,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.016666666666666666,0.0,0.0,0.016666666666666666,0.0,0.0,0.016666666666666666,0.03333333333333333,0.03333333333333333,0.0,0.016666666666666666,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.05,0.016666666666666666,0.03333333333333333,0.0,0.0,0.0,0.05,0.0,0.016666666666666666,0.05,0.03333333333333333,0.0,0.016666666666666666,0.0,0.0,0.0
Ana RACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,1.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0
Ana SPEIANU,0.0,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,1.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.0,0.0,0.0,0.0
