,Deputat,Grad,Grad_Ponderat,Degree_Centrality,Power_Centrality_Bonacich,Betweenness_Centrality,Stress_Centrality,Prestige_Centrality_PageRank,Eccentricity_Centrality
1,Alic BARABOI,5,5,0.10416666666666666,2.137418535043928e-99,0.034574468085106384,0.034574468085106384,0.02040816326530612,0.25
2,Alexandr BERLINSCHII,4,9,0.08333333333333333,0.000985689307637377,0.005319148936170213,0.005319148936170213,0.02040816326530612,1.0
3,Adrian DOMENTIUC,4,5,0.08333333333333333,0.0018045070991628356,0.02127659574468085,0.02127659574468085,0.02040816326530612,0.16666666666666666
4,Alexandr TRUBCA,4,4,0.08333333333333333,1.3209973028411558e-99,0.02925531914893617,0.02925531914893617,0.02040816326530612,0.25
5,Adela RĂILEANU,3,5,0.0625,0.04185433606043894,0.023936170212765957,0.023936170212765957,0.02040816326530612,0.25
6,Alexandr STOIANOGLO,3,3,0.0625,1.508895290974479e-101,0.0070921985815602835,0.0070921985815602835,0.02040816326530612,0.5
7,Ana ȚURCAN-OBOROC,3,4,0.0625,3.3974093411786303e-54,0.0017730496453900709,0.0017730496453900709,0.02040816326530612,1.0
8,Diana CARAMAN,2,3,0.041666666666666664,0.004075616426892098,0.02127659574468085,0.02127659574468085,0.02040816326530612,0.2
9,Larisa NOVAC,2,2,0.041666666666666664,1.0691180555312871e-99,0.008865248226950354,0.008865248226950355,0.02040816326530612,0.2
10,Gaik VARTANEAN,2,2,0.041666666666666664,7.717275724131297e-102,0.0035460992907801418,0.0035460992907801418,0.02040816326530612,0.3333333333333333
11,Bogdat ȚÎRDEA,2,6,0.041666666666666664,0.7058542749424392,0.007978723404255319,0.007978723404255319,0.02040816326530612,0.16666666666666666
12,Vasile COSTIUC,2,3,0.041666666666666664,3.1773480689811117e-54,0.0,0.0,0.02040816326530612,0.5
13,Doina GHERMAN,2,2,0.041666666666666664,2.1752629690359837e-158,0.0008865248226950354,0.0008865248226950354,0.02040816326530612,1.0
14,Alexandru CHIȚU,2,4,0.041666666666666664,3.79948538511039e-54,0.0,0.0,0.02040816326530612,0.5
15,Igor DODON,2,3,0.041666666666666664,0.017196317469767228,0.022163120567375887,0.022163120567375887,0.02040816326530612,0.25
16,Igor TALMAZAN,2,2,0.041666666666666664,6.607512963045328e-100,0.008865248226950354,0.008865248226950355,0.02040816326530612,0.2
17,Adrian LEBEDINSKII,2,2,0.041666666666666664,0.1464707963394529,0.014184397163120567,0.014184397163120567,0.02040816326530612,0.2
18,Ion CHICU,2,3,0.041666666666666664,2.1784909768680606e-101,0.0035460992907801418,0.0035460992907801418,0.02040816326530612,0.3333333333333333
19,Radu MARIAN,2,2,0.041666666666666664,1.4329101440460825e-99,0.026595744680851064,0.026595744680851064,0.02040816326530612,0.3333333333333333
20,Vasile GRĂDINARU,1,1,0.020833333333333332,8.855871718449867e-100,0.0,0.0,0.02040816326530612,0.2
21,Iurie LEVINSCHI,1,1,0.020833333333333332,5.473229722010956e-100,0.0,0.0,0.02040816326530612,0.2
22,Ana CALINICI,1,1,0.020833333333333332,1.538143196269327e-158,0.0,0.0,0.02040816326530612,0.5
23,Gabriela CUNEVA,1,1,0.020833333333333332,6.350358320418011e-102,0.0,0.0,0.02040816326530612,0.3333333333333333
24,Ilie IONAȘ,1,1,0.020833333333333332,1.9642710433379683e-190,0.0,0.0,0.02040816326530612,1.0
25,Petru BURDUJA,1,5,0.020833333333333332,0.6913591486645875,0.0,0.0,0.02040816326530612,0.14285714285714285
