Artemie CĂTĂNOI,Veronica ROȘCA,11
Dorian ISTRATII,Radu MARIAN,6
Boris MARCOCI,Lilian CARP,5
Eugeniu SINCHEVICI,Liliana NICOLAESCU-ONOFREI,5
Andrian CHEPTONAR,Lilian CARP,5
Adrian BELÎI,Veronica ROȘCA,5
Alina DANDARA,Doina GHERMAN,4
Angela MUNTEANU-POJOGA,Grigore NOVAC,4
Larisa NOVAC,Liliana NICOLAESCU-ONOFREI,3
Artemie CĂTĂNOI,Igor CHIRIAC,3
Alexandr TRUBCA,Viorel BARDA,3
Igor CHIRIAC,Veronica ROȘCA,3
Boris MARCOCI,Boris POPA,3
Ina COȘERU,Mariana CUȘNIR,3
Radu MARIAN,Sergiu LAZARENCU,3
Marina MOROZOVA,Radu MARIAN,3
Adrian BELÎI,Doina GHERMAN,2
Ana OGLINDA,Artemie CĂTĂNOI,2
Alina DANDARA,Eugeniu SINCHEVICI,2
Andrian CHEPTONAR,Veronica ROȘCA,2
Ana OGLINDA,Vasile GRĂDINARU,2
Radu MARIAN,Victor SPÎNU,2
Boris MARCOCI,Vasile GRĂDINARU,2
Alina DANDARA,Veronica ROȘCA,2
Doina GHERMAN,Marina MOROZOVA,2
Alexandr TRUBCA,Vasile GRĂDINARU,2
Adrian BELÎI,Igor GROSU,2
Artemie CĂTĂNOI,Boris POPA,2
Liliana NICOLAESCU-ONOFREI,Marcela ADAM,2
Artemie CĂTĂNOI,Larisa VOLOH,2
Adrian BELÎI,Ana OGLINDA,2
Ana CALINICI,Veronica ROȘCA,2
Gheorghe ICHIM,Oleg CANAȚUI,2
Doina GHERMAN,Ion GROZA,2
Adrian BELÎI,Oazu NANTOI,1
Andrian CHEPTONAR,Marina MOROZOVA,1
Ana SPEIANU,Andrian CHEPTONAR,1
Ana SPEIANU,Liliana NICOLAESCU-ONOFREI,1
Efimia BANDALAC,Liliana NICOLAESCU-ONOFREI,1
Ana OGLINDA,Ana SPEIANU,1
Ana SPEIANU,Radu MARIAN,1
Andrian CHEPTONAR,Radu MARIAN,1
Adrian BELÎI,Vasile GRĂDINARU,1
Marcela ADAM,Marina MOROZOVA,1
Alexandr TRUBCA,Radu MARIAN,1
Ana OGLINDA,Doina GHERMAN,1
Ion POIA,Radu MARIAN,1
Adrian BELÎI,Marina MOROZOVA,1
Liliana GROSU,Marina MOROZOVA,1
Adela RĂILEANU,Vlad BATRÎNCEA,1
Andrian CHEPTONAR,Igor CHIRIAC,1
Alexandr TRUBCA,Dorian ISTRATII,1
Adrian BELÎI,Maria PANCU,1
Ion BABICI,Radu MARIAN,1
Ersilia QATRAWI,Virgiliu PÂSLARIUC,1
Alexandr TRUBCA,Boris MARCOCI,1
Andrian CHEPTONAR,Ion POIA,1
Igor CHIRIAC,Ion GROZA,1
Corneliu FURCULIȚĂ,Radu MUDREAC,1
Marcela NISTOR,Vitali GAVROUC,1
Alexandr TRUBCA,Ana OGLINDA,1
Boris MARCOCI,Mariana CUȘNIR,1
Alexandr TRUBCA,Doina GHERMAN,1
Igor CHIRIAC,Olesea STAMATE,1
Diana CARAMAN,Inga SIBOVA,1
Alina DANDARA,Ina COȘERU,1
Artemie CĂTĂNOI,Vasile GRĂDINARU,1
Angela MUNTEANU-POJOGA,Artemie CĂTĂNOI,1
Artemie CĂTĂNOI,Lilian CARP,1
Alexandr TRUBCA,Mariana CUȘNIR,1
Alexandr TRUBCA,Igor GROSU,1
Adrian BELÎI,Radu MARIAN,1
Adrian BELÎI,Mariana LUCREȚEANU,1
Artemie CĂTĂNOI,Ersilia QATRAWI,1
Corneliu FURCULIȚĂ,Petru BURDUJA,1
Boris MARCOCI,Igor GROSU,1
Alla DAROVANNAIA,Vlad BATRÎNCEA,1
Lilian CARP,Veronica ROȘCA,1
Ana OGLINDA,Larisa VOLOH,1
Lilian CARP,Vasile GRĂDINARU,1
Natalia DAVIDOVICI,Olesea STAMATE,1
Boris POPA,Veronica ROȘCA,1
Adrian BELÎI,Natalia DAVIDOVICI,1
Angela MUNTEANU-POJOGA,Igor CHIRIAC,1
Ina COȘERU,Radu MARIAN,1
Boris MARCOCI,Radu MARIAN,1
Alexandr TRUBCA,Marina MOROZOVA,1
Ina COȘERU,Larisa VOLOH,1
Alina DANDARA,Olesea STAMATE,1
Ersilia QATRAWI,Sergiu LAZARENCU,1
Igor GROSU,Veronica ROȘCA,1
Alina DANDARA,Victor SPÎNU,1
Larisa VOLOH,Maria GONȚA,1
Andrian CHEPTONAR,Ion ȘPAC,1
Angela MUNTEANU-POJOGA,Evghenia COJOCARI,1
Dorian ISTRATII,Eugeniu SINCHEVICI,1
Alexandr TRUBCA,Larisa VOLOH,1
Olesea STAMATE,Radu MARIAN,1
Alla PILIPEȚCAIA,Petru BURDUJA,1
Andrian CHEPTONAR,Oazu NANTOI,1
Ana CALINICI,Igor GROSU,1
Larisa NOVAC,Sergiu LAZARENCU,1
Ana OGLINDA,Liliana NICOLAESCU-ONOFREI,1
Ana OGLINDA,Ion GROZA,1
Ana RACU,Artemie CĂTĂNOI,1
Marcela NISTOR,Oazu NANTOI,1
Angela MUNTEANU-POJOGA,Liliana NICOLAESCU-ONOFREI,1
Lilian CARP,Natalia DAVIDOVICI,1
Ana RACU,Liliana GROSU,1
Igor CHIRIAC,Lilian CARP,1
Dorian ISTRATII,Efimia BANDALAC,1
Alexandr TRUBCA,Oazu NANTOI,1
Petru BURDUJA,Radu MUDREAC,1
Alexandr TRUBCA,Sergiu LAZARENCU,1
Efimia BANDALAC,Larisa VOLOH,1
