,Adela RĂILEANU,Adrian BELÎI,Alexandr TRUBCA,Alina DANDARA,Alla DAROVANNAIA,Alla PILIPEȚCAIA,Ana CALINICI,Ana OGLINDA,Ana RACU,Ana SPEIANU,Andrian CHEPTONAR,Angela MUNTEANU-POJOGA,Artemie CĂTĂNOI,Boris MARCOCI,Boris POPA,Corneliu FURCULIȚĂ,Diana CARAMAN,Doina GHERMAN,Dorian ISTRATII,Efimia BANDALAC,Ersilia QATRAWI,Eugeniu SINCHEVICI,Evghenia COJOCARI,Gheorghe ICHIM,Grigore NOVAC,Igor CHIRIAC,Igor GROSU,Ina COȘERU,Inga SIBOVA,Ion BABICI,Ion GROZA,Ion POIA,Ion ȘPAC,Larisa NOVAC,Larisa VOLOH,Lilian CARP,Liliana GROSU,Liliana NICOLAESCU-ONOFREI,Marcela ADAM,Marcela NISTOR,Maria GONȚA,Maria PANCU,Mariana CUȘNIR,Mariana LUCREȚEANU,Marina MOROZOVA,Natalia DAVIDOVICI,Oazu NANTOI,Oleg CANAȚUI,Olesea STAMATE,Petru BURDUJA,Radu MARIAN,Radu MUDREAC,Sergiu LAZARENCU,Vasile GRĂDINARU,Veronica ROȘCA,Victor SPÎNU,Viorel BARDA,Virgiliu PÂSLARIUC,Vitali GAVROUC,Vlad BATRÎNCEA
Adela RĂILEANU,1.0,-0.04869419849497174,-0.06053661396860026,-0.036988427031179744,1.0,-0.016949152542372878,-0.022895427362117686,-0.05106429211881659,-0.024175473851486204,-0.03479445003196106,-0.04112740313152182,-0.03090116233045484,-0.03595336335680755,-0.03780802295755705,-0.027548453278118855,-0.02417547385148619,-0.016949152542372867,-0.03839061540937693,-0.024652353586948245,-0.02986738455447496,-0.029867384554474973,-0.024997070827383575,-0.01694915254237286,-0.016949152542372874,-0.01694915254237286,-0.04036024689579301,-0.03707095374472784,-0.029867384554474956,-0.01694915254237286,-0.016949152542372878,-0.028077262622795644,-0.024175473851486204,-0.01694915254237286,-0.021549021871691845,-0.04112740313152182,-0.0352162163405491,-0.024175473851486204,-0.037808022957557044,-0.022895427362117672,-0.02417547385148619,-0.01694915254237287,-0.01694915254237286,-0.02583194669730023,-0.01694915254237286,-0.041587322124255845,-0.029867384554474956,-0.034794450031961084,-0.016949152542372867,-0.034794450031961056,-0.029867384554474963,-0.05067886802177859,-0.024175473851486204,-0.029867384554474952,-0.04094251838716112,-0.03756633271388836,-0.02289542736211768,-0.01694915254237293,-0.016949152542372864,-0.016949152542372874,-0.024175473851486207
Adrian BELÎI,-0.04869419849497173,1.0,0.22464554538533818,0.47336755877827,-0.04869419849497173,-0.048694198494971724,0.811256999959265,0.01630061686776599,-0.06945511402362176,0.1499444752896024,0.24756765517204016,-0.08877773260242613,0.7230474474974492,0.020689685924050696,0.14070318449261557,-0.06945511402362177,-0.04869419849497169,0.012254957175356792,0.08656409585625276,-0.08580773276925413,-0.08580773276925413,-0.07181552739102748,-0.04869419849497165,-0.048694198494971704,-0.04869419849497165,0.4111070926607469,0.1893391687512495,-0.0381367701196685,-0.04869419849497167,0.11361979648826735,0.3226591526465664,0.046303409349081254,-0.04869419849497165,-0.06190942855516633,-0.005626537617546369,0.056208166830547565,0.04630340934908126,-0.056896636291139384,0.0073086216212546575,0.04630340934908122,-0.0486941984949717,-0.04869419849497164,-0.07421409045940225,-0.04869419849497164,0.15930482371357016,-0.08580773276925407,-0.09996298352640157,-0.04869419849497168,0.06664198901760107,-0.08580773276925407,-0.08229466003551829,-0.06945511402362178,0.05720515517950277,0.05663480040423043,-0.08222970304913957,0.08039483783380098,-0.04869419849497179,-0.04869419849497168,-0.048694198494971704,-0.06945511402362177
Alexandr TRUBCA,-0.06053661396860026,0.22464554538533815,0.9999999999999998,0.04804003402947053,-0.06053661396860026,-0.06053661396860026,0.02044367180603297,0.15958626340564377,-0.08634657835526918,0.10873970905021005,-0.02885400372786887,-0.110368452375608,-0.012841319782582862,0.11815773528226392,0.08609450045896061,-0.08634657835526915,-0.06053661396860022,-0.008569889627388283,0.13207474610718134,0.16001422411879973,0.02666903735313325,-0.04743055440950459,-0.06053661396860018,-0.06053661396860023,-0.06053661396860018,-0.144153088474473,-0.04965181911046992,0.2266868175016328,-0.06053661396860018,0.16647568841365068,0.1817619263294142,0.0755532560608605,-0.06053661396860018,-0.004810361518025259,-0.06820037244769,0.09433526936138228,0.07555325606086044,-0.09886667646066986,0.02044367180603296,0.0755532560608604,0.16647568841365074,-0.06053661396860018,-0.023065734132760828,-0.06053661396860018,0.12996881122750906,-0.10667614941253312,-0.12427395320024018,-0.06053661396860021,-0.007767122075014975,-0.10667614941253317,0.20264992177364016,-0.08634657835526918,0.09334163073596638,0.09748850959989859,-0.11620442056396825,0.12266203083619812,-0.0605366139686004,-0.06053661396860021,-0.06053661396860023,-0.0863465783552692
Alina DANDARA,-0.036988427031179744,0.4733675587782701,0.048040034029470526,1.0,-0.036988427031179744,-0.03698842703117973,0.31341735020663536,0.09117694041807757,-0.05275855227949352,-0.07593252658973598,0.050121826992465895,-0.0674361378942814,0.2981542436503337,-0.08250909860316724,0.049188651774606136,-0.05275855227949355,-0.03698842703117969,-0.08378050012835758,0.01141196320855887,-0.06518010687811755,-0.06518010687811754,-0.05455153748722257,-0.03698842703117966,-0.036988427031179716,-0.03698842703117966,0.21764941632900484,0.06619138346145521,-0.06518010687811754,-0.03698842703117966,-0.03698842703117973,0.6071646125115656,-0.05275855227949352,-0.036988427031179646,-0.047026800962567804,-0.01981560602027718,-0.020959896670137708,-0.05275855227949352,0.2389549219286528,-0.04996508481555054,-0.05275855227949355,-0.036988427031179695,-0.036988427031179626,0.12812159421295122,-0.036988427031179626,0.3052726310805997,0.053329178354823384,-0.075932526589736,-0.03698842703117968,-0.07593252658973597,-0.06518010687811755,-0.005682868562395893,-0.05275855227949352,-0.06518010687811754,-0.08934956187633827,-0.08198165382858406,-0.049965084815550585,-0.03698842703117983,-0.03698842703117967,-0.0369884270311797,-0.052758552279493484
Alla DAROVANNAIA,1.0,-0.04869419849497174,-0.06053661396860026,-0.036988427031179744,1.0,-0.016949152542372878,-0.022895427362117686,-0.05106429211881659,-0.024175473851486204,-0.03479445003196106,-0.04112740313152182,-0.03090116233045484,-0.03595336335680755,-0.03780802295755705,-0.027548453278118855,-0.02417547385148619,-0.016949152542372867,-0.03839061540937693,-0.024652353586948245,-0.02986738455447496,-0.029867384554474973,-0.024997070827383575,-0.01694915254237286,-0.016949152542372874,-0.01694915254237286,-0.04036024689579301,-0.03707095374472784,-0.029867384554474956,-0.01694915254237286,-0.016949152542372878,-0.028077262622795644,-0.024175473851486204,-0.01694915254237286,-0.021549021871691845,-0.04112740313152182,-0.0352162163405491,-0.024175473851486204,-0.037808022957557044,-0.022895427362117672,-0.02417547385148619,-0.01694915254237287,-0.01694915254237286,-0.02583194669730023,-0.01694915254237286,-0.041587322124255845,-0.029867384554474956,-0.034794450031961084,-0.016949152542372867,-0.034794450031961056,-0.029867384554474963,-0.05067886802177859,-0.024175473851486204,-0.029867384554474952,-0.04094251838716112,-0.03756633271388836,-0.02289542736211768,-0.01694915254237293,-0.016949152542372864,-0.016949152542372874,-0.024175473851486207
Alla PILIPEȚCAIA,-0.01694915254237288,-0.048694198494971724,-0.06053661396860026,-0.03698842703117973,-0.01694915254237288,1.0,-0.022895427362117686,-0.05106429211881659,-0.024175473851486218,-0.034794450031961084,-0.04112740313152182,-0.030901162330454864,-0.035953363356807565,-0.03780802295755704,-0.02754845327811886,0.7010887416930993,-0.01694915254237288,-0.03839061540937693,-0.02465235358694823,-0.02986738455447496,-0.02986738455447497,-0.024997070827383595,-0.016949152542372874,-0.016949152542372885,-0.016949152542372874,-0.040360246895793,-0.037070953744727846,-0.02986738455447496,-0.016949152542372874,-0.016949152542372888,-0.02807726262279566,-0.024175473851486218,-0.016949152542372874,-0.021549021871691856,-0.041127403131521814,-0.03521621634054911,-0.024175473851486218,-0.03780802295755704,-0.022895427362117672,-0.02417547385148619,-0.01694915254237288,-0.016949152542372874,-0.02583194669730024,-0.016949152542372874,-0.04158732212425586,-0.02986738455447496,-0.03479445003196111,-0.016949152542372878,-0.03479445003196108,-0.029867384554474963,-0.050678868021778574,0.7010887416930996,-0.029867384554474952,-0.0409425183871611,-0.03756633271388835,-0.02289542736211768,-0.016949152542372933,-0.016949152542372878,-0.016949152542372885,-0.02417547385148622
Ana CALINICI,-0.022895427362117686,0.811256999959265,0.020443671806032973,0.31341735020663536,-0.022895427362117686,-0.022895427362117686,0.9999999999999998,-0.06897918866925505,-0.0326569605251772,-0.04700139439538427,0.261907511431156,-0.04174222373497424,0.8062103662049223,0.021888094181344978,0.21087527060025524,-0.03265696052517718,-0.022895427362117683,-0.05185920324305065,-0.03330114408045765,-0.040345765480241554,-0.040345765480241574,-0.03376679854425022,-0.022895427362117676,-0.02289542736211768,-0.022895427362117676,0.5402420604819272,0.2837671982309867,-0.04034576548024156,-0.022895427362117676,-0.022895427362117686,-0.03792761468753188,-0.032656960525177185,-0.02289542736211768,-0.02910906983429235,-0.05555613878842704,0.07928521511404354,-0.03265696052517719,-0.05107221975647143,-0.030927835051546348,-0.03265696052517718,-0.02289542736211768,-0.022895427362117683,-0.034894574094577815,-0.022895427362117683,-0.056177411259972464,-0.04034576548024156,-0.04700139439538436,-0.02289542736211768,-0.04700139439538425,-0.04034576548024156,-0.06845854615363177,-0.032656960525177185,-0.040345765480241554,-0.055306390889569436,-0.014498782077944743,-0.030927835051546372,-0.02289542736211769,-0.02289542736211768,-0.02289542736211768,-0.03265696052517724
Ana OGLINDA,-0.05106429211881659,0.01630061686776599,0.15958626340564377,0.09117694041807757,-0.05106429211881659,-0.05106429211881659,-0.06897918866925504,1.0,0.29134281629169195,0.02620712091804788,-0.07965537552526207,0.08146146122025241,-0.021664009979450505,0.08949895098228654,0.19366151856639097,-0.07283570407292309,-0.0510642921188166,0.22168739058705922,-0.03300997516170512,0.2099632596440626,0.20996325964406257,0.1600358875030996,-0.051064292118816586,-0.05106429211881658,-0.051064292118816586,0.265302717405788,0.35367587574872184,-0.014997375688861543,-0.051064292118816586,-0.05106429211881659,0.12688648033134464,-0.0728357040729232,-0.051064292118816586,0.17853755511932864,0.31862150210104834,0.03536639278448714,-0.0728357040729232,-0.07322641444005258,0.16095144022826177,-0.0728357040729231,0.20425716847526604,0.4595786290693496,2.97015695657927e-17,0.4595786290693496,0.18794100413722048,0.20996325964406257,0.2882783300985275,-0.05106429211881659,-0.10482848367219211,-0.08998425413316963,-0.019915428356607135,-0.0728357040729232,-0.01499737568886156,0.287819798982611,0.5335609387328524,-0.06897918866925504,0.2042571684752658,-0.0510642921188166,-0.05106429211881659,-0.07283570407292318
Ana RACU,-0.024175473851486204,-0.06945511402362176,-0.08634657835526917,-0.05275855227949351,-0.024175473851486204,-0.024175473851486214,-0.0326569605251772,0.29134281629169195,1.0,-0.049629166698546646,-0.05866219308015264,0.12120890174834684,-0.051282186146623575,-0.05392758535282184,0.3536443602051219,-0.034482758620689696,-0.024175473851486252,-0.05475856781933952,-0.03516295744161268,-0.04260143228423055,0.3834128905580757,-0.03565464589691852,-0.024175473851486277,-0.024175473851486218,-0.024175473851486277,0.4134426039689043,-0.05287626450141408,-0.04260143228423057,-0.024175473851486266,-0.024175473851486214,-0.04004808657316383,-0.034482758620689724,-0.024175473851486277,-0.030736511072267284,0.44415660474972624,0.05023075432006429,-0.03448275862068973,-0.05392758535282183,-0.032656960525177164,-0.03448275862068968,-0.024175473851486242,-0.024175473851486273,-0.036845473562900515,-0.024175473851486273,0.11863639979105713,-0.04260143228423059,-0.04962916669854673,-0.024175473851486256,-0.0496291666985466,-0.0426014322842306,-0.07228595327232228,-0.034482758620689724,-0.04260143228423058,0.1362631250826665,0.5779293081152482,-0.03265696052517721,-0.024175473851486252,-0.024175473851486266,-0.02417547385148624,-0.03448275862068984
Ana SPEIANU,-0.03479445003196106,0.1499444752896024,0.10873970905021003,-0.07593252658973598,-0.03479445003196106,-0.03479445003196108,-0.04700139439538427,0.026207120918047885,-0.049629166698546646,0.9999999999999998,0.00603066550135991,0.05550662947336077,0.01476153455663253,0.005543932326473762,-0.056553463581555934,-0.04962916669854656,-0.034794450031961126,0.019702760155977463,0.45547326016224376,0.24525573579398624,-0.061313933948496685,0.42976982984978224,-0.03479445003196116,-0.03479445003196107,-0.03479445003196116,0.030128888378074148,-0.07610194341477634,0.09197090092274493,-0.034794450031961154,0.4871223004474545,0.1585073648686651,0.6948083337796517,0.48712230044745325,0.45343330408390314,0.09649064802175904,0.28917761562712796,-0.04962916669854662,0.00554393232647379,0.42301254955845835,-0.049629166698546535,-0.0347944500319611,-0.03479445003196118,-0.05302969433666225,-0.03479445003196118,0.42686736047656904,-0.0613139339484967,0.1964285714285721,-0.03479445003196113,0.1964285714285716,-0.061313933948496706,-0.036186872042625155,-0.04962916669854659,0.3985405706652281,0.196116135138184,0.005508492378810511,0.4230125495584583,-0.03479445003196116,-0.03479445003196115,-0.0347944500319611,-0.049629166698546785
