,Adela RĂILEANU,Adrian BELÎI,Alexandr TRUBCA,Alina DANDARA,Alla DAROVANNAIA,Alla PILIPEȚCAIA,Ana CALINICI,Ana OGLINDA,Ana RACU,Ana SPEIANU,Andrian CHEPTONAR,Angela MUNTEANU-POJOGA,Artemie CĂTĂNOI,Boris MARCOCI,Boris POPA,Corneliu FURCULIȚĂ,Diana CARAMAN,Doina GHERMAN,Dorian ISTRATII,Efimia BANDALAC,Ersilia QATRAWI,Eugeniu SINCHEVICI,Evghenia COJOCARI,Gheorghe ICHIM,Grigore NOVAC,Igor CHIRIAC,Igor GROSU,Ina COȘERU,Inga SIBOVA,Ion BABICI,Ion GROZA,Ion POIA,Ion ȘPAC,Larisa NOVAC,Larisa VOLOH,Lilian CARP,Liliana GROSU,Liliana NICOLAESCU-ONOFREI,Marcela ADAM,Marcela NISTOR,Maria GONȚA,Maria PANCU,Mariana CUȘNIR,Mariana LUCREȚEANU,Marina MOROZOVA,Natalia DAVIDOVICI,Oazu NANTOI,Oleg CANAȚUI,Olesea STAMATE,Petru BURDUJA,Radu MARIAN,Radu MUDREAC,Sergiu LAZARENCU,Vasile GRĂDINARU,Veronica ROȘCA,Victor SPÎNU,Viorel BARDA,Virgiliu PÂSLARIUC,Vitali GAVROUC,Vlad BATRÎNCEA
Adela RĂILEANU,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian BELÎI,0.0,1.0,0.4117647058823529,0.13333333333333333,0.0,0.0,0.18181818181818182,0.1111111111111111,0.0,0.15384615384615385,0.25,0.0,0.16666666666666666,0.2,0.07692307692307693,0.0,0.0,0.13333333333333333,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.06666666666666667,0.07142857142857142,0.0,0.09090909090909091,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0625,0.2,0.08333333333333333,0.058823529411764705,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.15384615384615385,0.0,0.043478260869565216,0.0,0.07142857142857142,0.0625,0.05263157894736842,0.08333333333333333,0.0,0.0,0.0,0.0
Alexandr TRUBCA,0.0,0.4117647058823529,1.0,0.05555555555555555,0.0,0.0,0.07142857142857142,0.15789473684210525,0.0,0.13333333333333333,0.15789473684210525,0.0,0.15,0.25,0.06666666666666667,0.0,0.0,0.11764705882352941,0.0625,0.14285714285714285,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.058823529411764705,0.21428571428571427,0.0,0.07692307692307693,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.05555555555555555,0.1111111111111111,0.07142857142857142,0.05263157894736842,0.07142857142857142,0.07142857142857142,0.07692307692307693,0.0,0.06666666666666667,0.0,0.1111111111111111,0.0,0.0,0.0,0.0625,0.0,0.18181818181818182,0.0,0.0625,0.11764705882352941,0.047619047619047616,0.07142857142857142,0.0,0.0,0.0,0.0
Alina DANDARA,0.0,0.13333333333333333,0.05555555555555555,1.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0,0.06666666666666667,0.0,0.125,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.1,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.09090909090909091,0.08333333333333333,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.125,0.0,0.08333333333333333,0.125,0.0,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alla DAROVANNAIA,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alla PILIPEȚCAIA,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ana CALINICI,0.0,0.18181818181818182,0.07142857142857142,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.09090909090909091,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
Ana OGLINDA,0.0,0.1111111111111111,0.15789473684210525,0.07142857142857142,0.0,0.0,0.0,1.0,0.1,0.08333333333333333,0.058823529411764705,0.16666666666666666,0.11764705882352941,0.14285714285714285,0.09090909090909091,0.0,0.0,0.25,0.08333333333333333,0.2,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.14285714285714285,0.16666666666666666,0.08333333333333333,0.0,0.0,0.09090909090909091,0.0,0.0,0.1,0.15384615384615385,0.14285714285714285,0.0,0.06666666666666667,0.1,0.0,0.1111111111111111,0.1111111111111111,0.09090909090909091,0.1111111111111111,0.23076923076923078,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.15789473684210525,0.0,0.08333333333333333,0.25,0.125,0.0,0.1111111111111111,0.0,0.0,0.0
Ana RACU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.1,0.0,0.0,0.0,0.0,0.0
Ana SPEIANU,0.0,0.15384615384615385,0.13333333333333333,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,1.0,0.08333333333333333,0.125,0.07692307692307693,0.1,0.0,0.0,0.0,0.1111111111111111,0.14285714285714285,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.1,0.0,0.14285714285714285,0.0,0.25,0.16666666666666666,0.5,0.25,0.2,0.1111111111111111,0.1,0.0,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0625,0.0,0.14285714285714285,0.1111111111111111,0.08333333333333333,0.2,0.0,0.0,0.0,0.0
Andrian CHEPTONAR,0.0,0.25,0.15789473684210525,0.07142857142857142,0.0,0.0,0.1,0.058823529411764705,0.0,0.08333333333333333,1.0,0.07692307692307693,0.1875,0.14285714285714285,0.09090909090909091,0.0,0.0,0.07142857142857142,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07692307692307693,0.08333333333333333,0.0,0.1111111111111111,0.09090909090909091,0.1,0.0,0.0,0.0,0.14285714285714285,0.1,0.06666666666666667,0.1,0.1,0.0,0.0,0.0,0.0,0.06666666666666667,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0,0.15789473684210525,0.0,0.08333333333333333,0.07142857142857142,0.125,0.1,0.0,0.0,0.0,0.0
